model,sort_order,sha256,seq_len,h1_nat,h2_nat,h_bigram_nat,d_h1_nat,d_h2_nat,d_h_bigram_nat,spatial_gap_median,spatial_gap_mean,spatial_gap_p90,seq_face_adj_frac,seq_26_adj_frac,seq_consec_eucl_mean,seq_consec_eucl_median
our_sparse_sdf_vqvae,pre_morton,e648fc9d6e51bec289b86f590ed9d71fc7c2aa9fa77d202c0fa90c9a898c2e67,10148,8.24530036039883,8.059654089217823,9.224796753174052,nan,nan,nan,185.0,178.64098496645468,394.0,0.6702473637528333,0.6717256331920765,0.07374953433726088,0.015625
our_sparse_sdf_vqvae,post_morton,e648fc9d6e51bec289b86f590ed9d71fc7c2aa9fa77d202c0fa90c9a898c2e67,10148,8.245300360398844,8.059654089217824,9.224660132068196,1.4210854715202004e-14,1.7763568394002505e-15,-0.00013662110585599407,10.0,161.0588825986349,278.0,0.49807824972898396,0.8596629545678526,0.025382240974492418,0.02209708691207961
shapellm_vqvae3d,pre_morton,e648fc9d6e51bec289b86f590ed9d71fc7c2aa9fa77d202c0fa90c9a898c2e67,1024,5.23420092301882,3.461168711594893,6.349190230447139,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,e648fc9d6e51bec289b86f590ed9d71fc7c2aa9fa77d202c0fa90c9a898c2e67,1024,5.234200923018819,3.461168711594893,6.34323860553389,-8.881784197001252e-16,0.0,-0.005951624913248743,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
our_sparse_sdf_vqvae,pre_morton,d8e1a1bd9f6d1f056ca6abbd6f64a7b7d0da56772230775970129af386a55893,3845,7.806649933353982,7.685115437294271,8.254268770089777,nan,nan,nan,91.0,109.37038438893094,242.0,0.5658168574401665,0.5699791883454735,0.05361408354154867,0.015625
our_sparse_sdf_vqvae,post_morton,d8e1a1bd9f6d1f056ca6abbd6f64a7b7d0da56772230775970129af386a55893,3845,7.806649933353986,7.6851154372942725,8.254268770089777,4.440892098500626e-15,1.7763568394002505e-15,0.0,8.0,169.01762133064176,372.0,0.5026014568158168,0.8647242455775234,0.025597053028052978,0.015625
shapellm_vqvae3d,pre_morton,d8e1a1bd9f6d1f056ca6abbd6f64a7b7d0da56772230775970129af386a55893,1024,3.7812425419158493,1.9015957250165465,4.798201529778625,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,d8e1a1bd9f6d1f056ca6abbd6f64a7b7d0da56772230775970129af386a55893,1024,3.781242541915849,1.9015957250165465,5.165880407192901,-4.440892098500626e-16,0.0,0.3676788774142761,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
our_sparse_sdf_vqvae,pre_morton,fdae989f7f0244a10bf26361ff3e0a18c30f663ea122f47a85b39c460394e46e,14444,7.221324220654031,6.677887181037982,9.463768501238423,nan,nan,nan,220.0,198.90840215684935,377.0,0.72000276950772,0.7207643841307207,0.08654145903681841,0.015625
our_sparse_sdf_vqvae,post_morton,fdae989f7f0244a10bf26361ff3e0a18c30f663ea122f47a85b39c460394e46e,14444,7.221324220654029,6.677887181037981,9.483187001468307,-1.7763568394002505e-15,-8.881784197001252e-16,0.019418500229884117,13.0,304.86834516415263,810.0,0.49636502111749636,0.8701100879318701,0.025437037937506683,0.02209708691207961
shapellm_vqvae3d,pre_morton,fdae989f7f0244a10bf26361ff3e0a18c30f663ea122f47a85b39c460394e46e,1024,2.709420983533471,1.1777093986382312,4.030754421785948,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,fdae989f7f0244a10bf26361ff3e0a18c30f663ea122f47a85b39c460394e46e,1024,2.7094209835334704,1.1777093986382312,3.8360141485482298,-4.440892098500626e-16,0.0,-0.1947402732377186,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
our_sparse_sdf_vqvae,pre_morton,eb35375e92695ef82cc690f90eebb3a22808e43b5dcfe2eb4aa09fcc5f64954e,5462,7.247869150941483,6.476136201706403,8.22848822825048,nan,nan,nan,97.0,84.4682251598223,139.0,0.8091924555942135,0.8264054202527009,0.05211557824071567,0.015625
our_sparse_sdf_vqvae,post_morton,eb35375e92695ef82cc690f90eebb3a22808e43b5dcfe2eb4aa09fcc5f64954e,5462,7.247869150941469,6.476136201706403,8.313103450461519,-1.4210854715202004e-14,0.0,0.08461522221103834,11.0,108.503873659118,321.0,0.5132759567844717,0.8674235488005859,0.02603752518198842,0.015625
shapellm_vqvae3d,pre_morton,eb35375e92695ef82cc690f90eebb3a22808e43b5dcfe2eb4aa09fcc5f64954e,1024,5.3451573353746555,4.660232266387214,6.54790726621401,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,eb35375e92695ef82cc690f90eebb3a22808e43b5dcfe2eb4aa09fcc5f64954e,1024,5.345157335374652,4.660232266387214,6.545526237081441,-3.552713678800501e-15,0.0,-0.0023810291325689903,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
our_sparse_sdf_vqvae,pre_morton,c32122ca4e46818da36aa9621ad60c1230db51d3257ecbac4577850cf31502f7,4083,7.643030565179022,7.46645006460462,8.314342343370141,nan,nan,nan,167.0,133.44961630881326,256.0,0.5663890249877511,0.5703086722195002,0.06319501520657665,0.015625
our_sparse_sdf_vqvae,post_morton,c32122ca4e46818da36aa9621ad60c1230db51d3257ecbac4577850cf31502f7,4083,7.643030565179003,7.4664500646046195,8.314342343370141,-1.9539925233402755e-14,-8.881784197001252e-16,0.0,8.0,127.50530966591737,239.0,0.5012248897599216,0.8637922586967173,0.025801583733855406,0.015625
shapellm_vqvae3d,pre_morton,c32122ca4e46818da36aa9621ad60c1230db51d3257ecbac4577850cf31502f7,1024,3.375776814706014,1.5383593066339556,4.006614508890673,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,c32122ca4e46818da36aa9621ad60c1230db51d3257ecbac4577850cf31502f7,1024,3.375776814706015,1.5383593066339556,4.566021901504196,1.3322676295501878e-15,0.0,0.5594073926135232,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
